ID,comuna,costo
0,0,10
1,0,52
2,0,135
3,0,202
4,0,373
5,0,31
6,0,44
7,0,95
8,0,156
9,0,90
10,0,27
11,0,30
12,0,52
13,0,313
14,0,19
15,0,20
16,0,76
17,0,121
18,0,236
19,0,35
20,0,33
21,0,57
22,0,111
23,0,93
24,0,46
25,0,35
26,0,23
27,0,190
28,0,16
29,0,31
30,0,57
31,0,125
32,0,74
33,0,49
34,0,37
35,0,90
36,0,136
37,0,105
38,0,67
39,0,6
40,0,88
41,0,45
42,0,5
43,0,38
44,0,115
45,0,64
46,0,17
47,0,45
48,0,145
49,0,177
50,0,190
51,0,55
52,0,30
53,0,85
54,0,16
55,0,163
56,0,95
57,0,29
58,0,48
59,0,184
60,0,248
61,0,278
62,0,89
63,0,17
64,0,128
65,0,289
66,0,176
67,0,71
68,0,78
69,0,292
70,0,431
71,0,500
72,0,174
73,0,16
74,0,240
75,0,10
76,0,57
77,0,74
78,0,20
79,0,7
80,0,109
81,0,98
82,0,293
83,0,5
84,0,24
85,0,39
86,0,24
87,0,32
88,0,124
89,0,76
90,0,184
91,0,7
92,0,15
93,0,67
94,0,99
95,0,177
96,0,68
97,0,78
98,0,44
99,0,55
100,0,125
101,0,307
102,0,143
103,0,113
104,0,72
105,0,34
106,0,234
107,0,187
108,0,347
109,0,37
110,0,101
111,0,125
112,0,425
113,0,17
114,0,45
115,0,360
116,0,78
117,0,114
118,0,62
119,0,227
0,1,54
1,1,33
2,1,12
3,1,52
4,1,53
5,1,18
6,1,14
7,1,63
8,1,129
9,1,205
10,1,39
11,1,5
12,1,42
13,1,29
14,1,85
15,1,182
16,1,21
17,1,72
18,1,179
19,1,195
20,1,106
21,1,26
22,1,166
23,1,316
24,1,500
25,1,154
26,1,41
27,1,10
28,1,53
29,1,193
30,1,434
31,1,36
32,1,106
33,1,129
34,1,65
35,1,11
36,1,156
37,1,288
38,1,442
39,1,115
40,1,30
41,1,29
42,1,17
43,1,192
44,1,395
45,1,33
46,1,43
47,1,13
48,1,23
49,1,90
50,1,160
51,1,237
52,1,44
53,1,23
54,1,65
55,1,17
56,1,121
57,1,219
58,1,13
59,1,20
60,1,82
61,1,100
62,1,138
63,1,178
64,1,36
65,1,72
66,1,161
67,1,61
68,1,136
69,1,175
70,1,20
71,1,92
72,1,64
73,1,84
74,1,111
75,1,17
76,1,71
77,1,163
78,1,85
79,1,90
80,1,110
81,1,42
82,1,59
83,1,104
84,1,156
85,1,19
86,1,30
87,1,88
88,1,42
89,1,85
90,1,144
91,1,102
92,1,198
93,1,311
94,1,75
95,1,11
96,1,23
97,1,20
98,1,128
99,1,276
100,1,24
101,1,58
102,1,28
103,1,64
104,1,118
105,1,149
106,1,7
107,1,45
108,1,17
109,1,51
110,1,135
111,1,232
112,1,260
113,1,21
114,1,9
115,1,82
116,1,220
117,1,375
118,1,383
119,1,54
120,1,5
121,1,49
122,1,119
123,1,89
124,1,46
125,1,75
126,1,28
127,1,34
128,1,83
129,1,193
130,1,59
131,1,135
132,1,322
133,1,191
134,1,352
135,1,40
