ID,comuna,costo
0,0,21
1,0,105
2,0,271
3,0,405
4,0,747
5,0,62
6,0,89
7,0,191
8,0,313
9,0,180
10,0,54
11,0,60
12,0,105
13,0,627
14,0,38
15,0,41
16,0,153
17,0,243
18,0,472
19,0,71
20,0,66
21,0,115
22,0,223
23,0,186
24,0,92
25,0,71
26,0,47
27,0,381
28,0,33
29,0,62
30,0,115
31,0,251
32,0,149
33,0,99
34,0,74
35,0,181
36,0,272
37,0,210
38,0,134
39,0,13
40,0,177
41,0,90
42,0,11
43,0,76
44,0,231
45,0,129
46,0,34
47,0,90
48,0,291
49,0,355
50,0,381
51,0,110
52,0,61
53,0,171
54,0,32
55,0,326
56,0,190
57,0,59
58,0,97
59,0,369
60,0,496
61,0,557
62,0,178
63,0,34
64,0,257
65,0,578
66,0,353
67,0,142
68,0,156
69,0,585
70,0,863
71,0,1000
72,0,349
73,0,33
74,0,480
75,0,20
76,0,115
77,0,149
78,0,41
79,0,15
80,0,219
81,0,197
82,0,587
83,0,10
84,0,49
85,0,78
86,0,49
87,0,64
88,0,248
89,0,153
90,0,368
91,0,15
92,0,31
93,0,135
94,0,199
95,0,355
96,0,137
97,0,157
98,0,89
99,0,111
100,0,250
101,0,614
102,0,286
103,0,227
104,0,145
105,0,68
106,0,469
107,0,375
108,0,694
109,0,75
110,0,203
111,0,250
112,0,851
113,0,35
114,0,90
115,0,720
116,0,157
117,0,229
118,0,124
119,0,455
0,1,109
1,1,67
2,1,25
3,1,104
4,1,106
5,1,37
6,1,29
7,1,127
8,1,258
9,1,410
10,1,78
11,1,11
12,1,84
13,1,58
14,1,171
15,1,365
16,1,43
17,1,144
18,1,358
19,1,390
20,1,212
21,1,53
22,1,333
23,1,632
24,1,1000
25,1,309
26,1,82
27,1,21
28,1,107
29,1,386
30,1,869
31,1,72
32,1,213
33,1,258
34,1,131
35,1,23
36,1,312
37,1,577
38,1,884
39,1,230
40,1,60
41,1,59
42,1,35
43,1,384
44,1,790
45,1,66
46,1,87
47,1,27
48,1,46
49,1,180
50,1,320
51,1,475
52,1,89
53,1,46
54,1,131
55,1,34
56,1,242
57,1,438
58,1,27
59,1,41
60,1,165
61,1,201
62,1,276
63,1,356
64,1,73
65,1,145
66,1,322
67,1,123
68,1,272
69,1,351
70,1,40
71,1,185
72,1,129
73,1,169
74,1,223
75,1,35
76,1,143
77,1,327
78,1,171
79,1,180
80,1,220
81,1,85
82,1,119
83,1,209
84,1,312
85,1,39
86,1,61
87,1,177
88,1,84
89,1,170
90,1,289
91,1,204
92,1,397
93,1,622
94,1,151
95,1,22
96,1,47
97,1,41
98,1,257
99,1,552
100,1,49
101,1,116
102,1,57
103,1,128
104,1,236
105,1,298
106,1,14
107,1,91
108,1,35
109,1,102
110,1,271
111,1,465
112,1,521
113,1,43
114,1,19
115,1,165
116,1,441
117,1,751
118,1,766
119,1,108
120,1,10
121,1,99
122,1,239
123,1,178
124,1,92
125,1,151
126,1,56
127,1,69
128,1,167
129,1,386
130,1,118
131,1,271
132,1,645
133,1,382
134,1,704
135,1,80
