caneria,comuna,flujo_maximo
0,0,105
1,0,105
2,0,105
3,0,105
4,0,105
5,0,105
6,0,105
7,0,105
8,0,105
9,0,105
10,0,105
11,0,105
12,0,105
13,0,105
14,0,105
15,0,105
16,0,105
17,0,105
18,0,105
19,0,105
20,0,105
21,0,105
22,0,105
23,0,105
24,0,105
25,0,105
26,0,105
27,0,105
28,0,105
29,0,105
30,0,105
31,0,105
32,0,105
33,0,105
34,0,105
35,0,105
36,0,105
37,0,105
38,0,105
39,0,105
40,0,105
41,0,105
42,0,105
43,0,105
44,0,105
45,0,105
46,0,105
47,0,105
48,0,105
49,0,105
50,0,105
51,0,105
52,0,105
53,0,105
54,0,105
55,0,105
56,0,105
57,0,105
58,0,105
59,0,105
60,0,105
61,0,105
62,0,105
63,0,105
64,0,105
65,0,105
66,0,105
67,0,105
68,0,105
69,0,105
70,0,105
71,0,105
72,0,105
73,0,105
74,0,105
75,0,105
76,0,105
77,0,105
78,0,105
79,0,105
80,0,105
81,0,105
82,0,105
83,0,105
84,0,105
85,0,105
86,0,105
87,0,105
88,0,105
89,0,105
90,0,105
91,0,105
92,0,105
93,0,105
94,0,105
95,0,105
96,0,105
97,0,105
98,0,105
99,0,105
100,0,105
101,0,105
102,0,105
103,0,105
104,0,105
0,1,105
1,1,105
2,1,105
3,1,105
4,1,105
5,1,105
6,1,105
7,1,105
8,1,105
9,1,105
10,1,105
11,1,105
12,1,105
13,1,105
14,1,105
15,1,105
16,1,105
17,1,105
18,1,105
19,1,105
20,1,105
21,1,105
22,1,105
23,1,105
24,1,105
25,1,105
26,1,105
27,1,105
28,1,105
29,1,105
30,1,105
31,1,105
32,1,105
33,1,105
34,1,105
35,1,105
36,1,105
37,1,105
38,1,105
39,1,105
40,1,105
41,1,105
42,1,105
43,1,105
44,1,105
45,1,105
46,1,105
47,1,105
48,1,105
49,1,105
50,1,105
51,1,105
52,1,105
53,1,105
54,1,105
55,1,105
56,1,105
57,1,105
58,1,105
59,1,105
60,1,105
61,1,105
62,1,105
63,1,105
64,1,105
65,1,105
66,1,105
67,1,105
68,1,105
69,1,105
70,1,105
71,1,105
72,1,105
73,1,105
74,1,105
75,1,105
76,1,105
77,1,105
78,1,105
79,1,105
80,1,105
81,1,105
82,1,105
83,1,105
84,1,105
85,1,105
86,1,105
87,1,105
88,1,105
89,1,105
90,1,105
91,1,105
92,1,105
93,1,105
94,1,105
95,1,105
96,1,105
97,1,105
98,1,105
99,1,105
100,1,105
101,1,105
102,1,105
103,1,105
104,1,105
0,2,105
1,2,105
2,2,105
3,2,105
4,2,105
5,2,105
6,2,105
7,2,105
8,2,105
9,2,105
10,2,105
11,2,105
12,2,105
13,2,105
14,2,105
15,2,105
16,2,105
17,2,105
18,2,105
19,2,105
20,2,105
21,2,105
22,2,105
23,2,105
24,2,105
25,2,105
26,2,105
27,2,105
28,2,105
29,2,105
30,2,105
31,2,105
32,2,105
33,2,105
34,2,105
35,2,105
36,2,105
37,2,105
38,2,105
39,2,105
40,2,105
41,2,105
42,2,105
43,2,105
44,2,105
45,2,105
46,2,105
47,2,105
48,2,105
49,2,105
50,2,105
51,2,105
52,2,105
53,2,105
54,2,105
55,2,105
56,2,105
57,2,105
58,2,105
59,2,105
60,2,105
61,2,105
62,2,105
63,2,105
64,2,105
65,2,105
66,2,105
67,2,105
68,2,105
69,2,105
70,2,105
71,2,105
72,2,105
73,2,105
74,2,105
75,2,105
76,2,105
77,2,105
78,2,105
79,2,105
80,2,105
81,2,105
82,2,105
83,2,105
84,2,105
85,2,105
86,2,105
87,2,105
88,2,105
89,2,105
90,2,105
91,2,105
92,2,105
93,2,105
94,2,105
95,2,105
96,2,105
97,2,105
98,2,105
99,2,105
100,2,105
101,2,105
102,2,105
103,2,105
104,2,105
