comuna,origen,destino,ID
0,0,1,0
0,0,2,1
0,0,3,2
0,0,4,3
0,0,5,4
0,0,6,5
0,0,7,6
0,0,8,7
0,0,9,8
0,0,10,9
0,0,11,10
0,0,12,11
0,0,13,12
0,0,14,13
0,0,15,14
0,0,16,15
0,1,2,16
0,1,3,17
0,1,4,18
0,1,5,19
0,1,6,20
0,1,7,21
0,1,8,22
0,1,9,23
0,1,10,24
0,1,11,25
0,1,12,26
0,1,13,27
0,1,14,28
0,1,15,29
0,1,16,30
0,2,3,31
0,2,4,32
0,2,5,33
0,2,6,34
0,2,7,35
0,2,8,36
0,2,9,37
0,2,10,38
0,2,11,39
0,2,12,40
0,2,13,41
0,2,14,42
0,2,15,43
0,2,16,44
0,3,4,45
0,3,5,46
0,3,6,47
0,3,7,48
0,3,8,49
0,3,9,50
0,3,10,51
0,3,11,52
0,3,12,53
0,3,13,54
0,3,14,55
0,3,15,56
0,3,16,57
0,4,5,58
0,4,6,59
0,4,7,60
0,4,8,61
0,4,9,62
0,4,10,63
0,4,11,64
0,4,12,65
0,4,13,66
0,4,14,67
0,4,15,68
0,4,16,69
0,5,6,70
0,5,7,71
0,5,8,72
0,5,9,73
0,5,10,74
0,5,11,75
0,5,12,76
0,5,13,77
0,5,14,78
0,5,15,79
0,5,16,80
0,6,7,81
0,6,8,82
0,6,9,83
0,6,10,84
0,6,11,85
0,6,12,86
0,6,13,87
0,6,14,88
0,6,15,89
0,6,16,90
0,7,8,91
0,7,9,92
0,7,10,93
0,7,11,94
0,7,12,95
0,7,13,96
0,7,14,97
0,7,15,98
0,7,16,99
0,8,9,100
0,8,10,101
0,8,11,102
0,8,12,103
0,8,13,104
0,8,14,105
0,8,15,106
0,8,16,107
0,9,10,108
0,9,11,109
0,9,12,110
0,9,13,111
0,9,14,112
0,9,15,113
0,9,16,114
0,10,11,115
0,10,12,116
0,10,13,117
0,10,14,118
0,10,15,119
0,10,16,120
0,11,12,121
0,11,13,122
0,11,14,123
0,11,15,124
0,11,16,125
0,12,13,126
0,12,14,127
0,12,15,128
0,12,16,129
0,13,14,130
0,13,15,131
0,13,16,132
0,14,15,133
0,14,16,134
0,15,16,135
1,0,1,0
1,0,2,1
1,0,3,2
1,0,4,3
1,0,5,4
1,0,6,5
1,0,7,6
1,0,8,7
1,0,9,8
1,0,10,9
1,0,11,10
1,0,12,11
1,0,13,12
1,0,14,13
1,0,15,14
1,0,16,15
1,1,2,16
1,1,3,17
1,1,4,18
1,1,5,19
1,1,6,20
1,1,7,21
1,1,8,22
1,1,9,23
1,1,10,24
1,1,11,25
1,1,12,26
1,1,13,27
1,1,14,28
1,1,15,29
1,1,16,30
1,2,3,31
1,2,4,32
1,2,5,33
1,2,6,34
1,2,7,35
1,2,8,36
1,2,9,37
1,2,10,38
1,2,11,39
1,2,12,40
1,2,13,41
1,2,14,42
1,2,15,43
1,2,16,44
1,3,4,45
1,3,5,46
1,3,6,47
1,3,7,48
1,3,8,49
1,3,9,50
1,3,10,51
1,3,11,52
1,3,12,53
1,3,13,54
1,3,14,55
1,3,15,56
1,3,16,57
1,4,5,58
1,4,6,59
1,4,7,60
1,4,8,61
1,4,9,62
1,4,10,63
1,4,11,64
1,4,12,65
1,4,13,66
1,4,14,67
1,4,15,68
1,4,16,69
1,5,6,70
1,5,7,71
1,5,8,72
1,5,9,73
1,5,10,74
1,5,11,75
1,5,12,76
1,5,13,77
1,5,14,78
1,5,15,79
1,5,16,80
1,6,7,81
1,6,8,82
1,6,9,83
1,6,10,84
1,6,11,85
1,6,12,86
1,6,13,87
1,6,14,88
1,6,15,89
1,6,16,90
1,7,8,91
1,7,9,92
1,7,10,93
1,7,11,94
1,7,12,95
1,7,13,96
1,7,14,97
1,7,15,98
1,7,16,99
1,8,9,100
1,8,10,101
1,8,11,102
1,8,12,103
1,8,13,104
1,8,14,105
1,8,15,106
1,8,16,107
1,9,10,108
1,9,11,109
1,9,12,110
1,9,13,111
1,9,14,112
1,9,15,113
1,9,16,114
1,10,11,115
1,10,12,116
1,10,13,117
1,10,14,118
1,10,15,119
1,10,16,120
1,11,12,121
1,11,13,122
1,11,14,123
1,11,15,124
1,11,16,125
1,12,13,126
1,12,14,127
1,12,15,128
1,12,16,129
1,13,14,130
1,13,15,131
1,13,16,132
1,14,15,133
1,14,16,134
1,15,16,135
