ID,comuna,costo
0,0,5
1,0,6
2,0,9
3,0,15
4,0,10
5,0,7
6,0,9
7,0,19
8,0,21
9,0,7
10,0,7
11,0,9
12,0,9
13,0,8
14,0,15
15,0,5
16,0,5
17,0,7
18,0,12
19,0,10
20,0,8
21,0,11
22,0,15
23,0,16
24,0,7
25,0,7
26,0,11
27,0,7
28,0,6
29,0,13
30,0,7
31,0,6
32,0,8
33,0,8
34,0,7
35,0,10
36,0,11
37,0,12
38,0,9
39,0,10
40,0,12
41,0,7
42,0,5
43,0,9
44,0,9
45,0,8
46,0,11
47,0,10
48,0,16
49,0,8
50,0,8
51,0,10
52,0,12
53,0,19
54,0,5
55,0,5
56,0,10
57,0,13
58,0,9
59,0,10
60,0,15
61,0,5
62,0,8
63,0,21
64,0,25
65,0,21
66,0,11
67,0,7
68,0,5
69,0,19
70,0,5
71,0,6
72,0,13
73,0,20
74,0,20
75,0,21
76,0,9
77,0,16
78,0,8
79,0,7
80,0,10
81,0,5
82,0,15
83,0,20
84,0,14
85,0,14
86,0,7
87,0,13
88,0,7
89,0,9
90,0,7
91,0,22
92,0,32
93,0,19
94,0,19
95,0,5
96,0,20
97,0,11
98,0,11
99,0,7
100,0,6
101,0,24
102,0,29
103,0,31
104,0,12
105,0,9
106,0,7
107,0,27
108,0,22
109,0,27
110,0,42
111,0,10
112,0,10
113,0,12
114,0,32
115,0,5
116,0,17
117,0,8
118,0,11
119,0,25
120,0,10
121,0,16
122,0,9
123,0,12
124,0,28
125,0,9
126,0,22
127,0,14
128,0,17
129,0,6
130,0,7
131,0,15
132,0,14
133,0,8
134,0,11
135,0,17
0,1,6
1,1,5
2,1,7
3,1,8
4,1,8
5,1,12
6,1,11
7,1,17
8,1,7
9,1,5
10,1,8
11,1,12
12,1,16
13,1,5
14,1,6
15,1,8
16,1,6
17,1,11
18,1,13
19,1,8
20,1,10
21,1,18
22,1,29
23,1,6
24,1,7
25,1,13
26,1,21
27,1,27
28,1,7
29,1,5
30,1,8
31,1,7
32,1,9
33,1,9
34,1,13
35,1,13
36,1,21
37,1,7
38,1,6
39,1,9
40,1,15
41,1,19
42,1,5
43,1,5
44,1,9
45,1,5
46,1,12
47,1,20
48,1,8
49,1,11
50,1,12
51,1,7
52,1,6
53,1,8
54,1,9
55,1,6
56,1,9
57,1,15
58,1,12
59,1,21
60,1,7
61,1,8
62,1,13
63,1,8
64,1,5
65,1,6
66,1,8
67,1,7
68,1,12
69,1,16
70,1,6
71,1,12
72,1,22
73,1,6
74,1,7
75,1,11
76,1,15
77,1,24
78,1,9
79,1,10
80,1,5
81,1,21
82,1,37
83,1,7
84,1,11
85,1,18
86,1,26
87,1,42
88,1,14
89,1,13
90,1,5
91,1,6
92,1,15
93,1,10
94,1,6
95,1,5
96,1,8
97,1,11
98,1,17
99,1,16
100,1,26
101,1,16
102,1,8
103,1,5
104,1,6
105,1,17
106,1,27
107,1,29
108,1,6
109,1,12
110,1,18
111,1,27
112,1,8
113,1,7
114,1,5
115,1,7
116,1,11
117,1,16
118,1,5
119,1,7
120,1,8
121,1,6
122,1,8
123,1,8
124,1,12
125,1,14
126,1,6
127,1,12
128,1,19
129,1,20
130,1,15
131,1,24
132,1,32
133,1,6
134,1,10
135,1,9
