ID,comuna,costo
0,0,10
1,0,13
2,0,18
3,0,30
4,0,21
5,0,15
6,0,19
7,0,39
8,0,43
9,0,15
10,0,15
11,0,18
12,0,19
13,0,16
14,0,30
15,0,11
16,0,11
17,0,14
18,0,25
19,0,21
20,0,16
21,0,22
22,0,31
23,0,32
24,0,14
25,0,15
26,0,23
27,0,14
28,0,13
29,0,27
30,0,15
31,0,12
32,0,17
33,0,17
34,0,14
35,0,21
36,0,22
37,0,25
38,0,19
39,0,21
40,0,24
41,0,14
42,0,10
43,0,19
44,0,18
45,0,16
46,0,23
47,0,21
48,0,32
49,0,17
50,0,17
51,0,20
52,0,24
53,0,38
54,0,11
55,0,10
56,0,20
57,0,27
58,0,18
59,0,21
60,0,30
61,0,11
62,0,17
63,0,43
64,0,50
65,0,42
66,0,23
67,0,14
68,0,11
69,0,39
70,0,11
71,0,13
72,0,26
73,0,40
74,0,40
75,0,43
76,0,18
77,0,33
78,0,17
79,0,14
80,0,21
81,0,11
82,0,30
83,0,41
84,0,29
85,0,29
86,0,14
87,0,27
88,0,15
89,0,18
90,0,15
91,0,45
92,0,64
93,0,39
94,0,38
95,0,11
96,0,41
97,0,23
98,0,23
99,0,15
100,0,12
101,0,49
102,0,59
103,0,62
104,0,24
105,0,18
106,0,15
107,0,54
108,0,44
109,0,54
110,0,85
111,0,20
112,0,20
113,0,25
114,0,65
115,0,10
116,0,35
117,0,16
118,0,22
119,0,50
120,0,21
121,0,33
122,0,19
123,0,25
124,0,56
125,0,19
126,0,45
127,0,28
128,0,34
129,0,13
130,0,14
131,0,30
132,0,29
133,0,16
134,0,22
135,0,35
0,1,13
1,1,10
2,1,14
3,1,16
4,1,16
5,1,24
6,1,22
7,1,35
8,1,14
9,1,10
10,1,16
11,1,25
12,1,33
13,1,10
14,1,12
15,1,17
16,1,12
17,1,22
18,1,26
19,1,17
20,1,21
21,1,36
22,1,59
23,1,13
24,1,14
25,1,26
26,1,42
27,1,55
28,1,14
29,1,10
30,1,16
31,1,15
32,1,19
33,1,18
34,1,26
35,1,27
36,1,42
37,1,15
38,1,12
39,1,19
40,1,30
41,1,38
42,1,10
43,1,10
44,1,19
45,1,11
46,1,25
47,1,41
48,1,17
49,1,22
50,1,24
51,1,14
52,1,12
53,1,17
54,1,19
55,1,13
56,1,19
57,1,30
58,1,25
59,1,42
60,1,14
61,1,17
62,1,26
63,1,16
64,1,10
65,1,13
66,1,16
67,1,15
68,1,24
69,1,32
70,1,13
71,1,25
72,1,44
73,1,12
74,1,14
75,1,22
76,1,31
77,1,49
78,1,19
79,1,20
80,1,11
81,1,42
82,1,74
83,1,14
84,1,22
85,1,37
86,1,53
87,1,85
88,1,29
89,1,26
90,1,11
91,1,13
92,1,31
93,1,20
94,1,12
95,1,10
96,1,16
97,1,23
98,1,35
99,1,33
100,1,53
101,1,33
102,1,17
103,1,11
104,1,12
105,1,34
106,1,55
107,1,59
108,1,13
109,1,24
110,1,37
111,1,55
112,1,16
113,1,15
114,1,11
115,1,15
116,1,23
117,1,32
118,1,11
119,1,14
120,1,16
121,1,13
122,1,17
123,1,16
124,1,24
125,1,28
126,1,13
127,1,25
128,1,39
129,1,41
130,1,30
131,1,48
132,1,64
133,1,12
134,1,21
135,1,19
