comuna,terreno,tiempo,demanda
0,0,0,41
0,1,0,39
0,2,0,43
0,3,0,36
0,4,0,37
0,5,0,40
0,6,0,40
0,7,0,42
0,8,0,42
0,9,0,36
0,10,0,35
0,11,0,0
0,12,0,0
0,13,0,0
0,14,0,0
0,15,0,0
0,16,0,0
1,0,0,42
1,1,0,38
1,2,0,35
1,3,0,39
1,4,0,40
1,5,0,37
1,6,0,40
1,7,0,38
1,8,0,38
1,9,0,0
1,10,0,0
1,11,0,0
1,12,0,0
1,13,0,0
1,14,0,0
1,15,0,0
1,16,0,36
0,0,1,41
0,1,1,39
0,2,1,43
0,3,1,36
0,4,1,37
0,5,1,40
0,6,1,40
0,7,1,42
0,8,1,42
0,9,1,36
0,10,1,35
0,11,1,0
0,12,1,0
0,13,1,0
0,14,1,0
0,15,1,0
0,16,1,0
1,0,1,42
1,1,1,38
1,2,1,35
1,3,1,39
1,4,1,40
1,5,1,37
1,6,1,40
1,7,1,38
1,8,1,38
1,9,1,0
1,10,1,0
1,11,1,0
1,12,1,0
1,13,1,0
1,14,1,0
1,15,1,0
1,16,1,36
0,0,2,41
0,1,2,39
0,2,2,43
0,3,2,36
0,4,2,37
0,5,2,40
0,6,2,40
0,7,2,42
0,8,2,42
0,9,2,36
0,10,2,35
0,11,2,0
0,12,2,0
0,13,2,0
0,14,2,0
0,15,2,0
0,16,2,0
1,0,2,42
1,1,2,38
1,2,2,35
1,3,2,39
1,4,2,40
1,5,2,37
1,6,2,40
1,7,2,38
1,8,2,38
1,9,2,0
1,10,2,0
1,11,2,0
1,12,2,0
1,13,2,0
1,14,2,0
1,15,2,0
1,16,2,36
0,0,3,41
0,1,3,39
0,2,3,43
0,3,3,36
0,4,3,37
0,5,3,40
0,6,3,40
0,7,3,42
0,8,3,42
0,9,3,36
0,10,3,35
0,11,3,0
0,12,3,0
0,13,3,0
0,14,3,0
0,15,3,0
0,16,3,0
1,0,3,42
1,1,3,38
1,2,3,35
1,3,3,39
1,4,3,40
1,5,3,37
1,6,3,40
1,7,3,38
1,8,3,38
1,9,3,0
1,10,3,0
1,11,3,0
1,12,3,0
1,13,3,0
1,14,3,0
1,15,3,0
1,16,3,36
0,0,4,41
0,1,4,39
0,2,4,43
0,3,4,36
0,4,4,37
0,5,4,40
0,6,4,40
0,7,4,42
0,8,4,42
0,9,4,36
0,10,4,35
0,11,4,0
0,12,4,0
0,13,4,0
0,14,4,0
0,15,4,0
0,16,4,0
1,0,4,42
1,1,4,38
1,2,4,35
1,3,4,39
1,4,4,40
1,5,4,37
1,6,4,40
1,7,4,38
1,8,4,38
1,9,4,0
1,10,4,0
1,11,4,0
1,12,4,0
1,13,4,0
1,14,4,0
1,15,4,0
1,16,4,36
