caneria,comuna,flujo_maximo
0,0,149
1,0,134
2,0,146
3,0,137
4,0,140
5,0,139
6,0,150
7,0,136
8,0,135
9,0,150
10,0,132
11,0,147
12,0,145
13,0,144
14,0,141
15,0,140
16,0,139
17,0,142
18,0,139
19,0,130
20,0,133
21,0,133
22,0,141
23,0,148
24,0,133
25,0,141
26,0,139
27,0,149
28,0,140
29,0,142
30,0,146
31,0,138
32,0,138
33,0,139
34,0,130
35,0,148
36,0,130
37,0,134
38,0,136
39,0,139
40,0,141
41,0,132
42,0,142
43,0,130
44,0,146
45,0,146
46,0,131
47,0,142
48,0,149
49,0,150
50,0,137
51,0,135
52,0,148
53,0,131
54,0,143
55,0,142
56,0,142
57,0,150
58,0,149
59,0,146
60,0,147
61,0,141
62,0,144
63,0,146
64,0,150
65,0,140
66,0,140
67,0,146
68,0,150
69,0,133
70,0,150
71,0,150
72,0,145
73,0,142
74,0,150
75,0,143
76,0,134
77,0,140
78,0,143
79,0,134
80,0,136
81,0,149
82,0,149
83,0,132
84,0,140
85,0,133
86,0,132
87,0,143
88,0,145
89,0,141
90,0,140
91,0,138
92,0,144
93,0,147
94,0,132
95,0,135
96,0,141
97,0,130
98,0,146
99,0,148
100,0,146
101,0,140
102,0,142
103,0,131
104,0,150
105,0,145
106,0,130
107,0,143
108,0,146
109,0,131
110,0,143
111,0,141
112,0,130
113,0,146
114,0,131
115,0,148
116,0,142
117,0,138
118,0,149
119,0,140
120,0,139
121,0,137
122,0,135
123,0,137
124,0,136
125,0,144
126,0,139
127,0,148
128,0,143
129,0,137
130,0,150
131,0,137
132,0,144
133,0,137
134,0,134
135,0,147
0,1,145
1,1,136
2,1,139
3,1,140
4,1,136
5,1,149
6,1,134
7,1,134
8,1,142
9,1,135
10,1,133
11,1,139
12,1,148
13,1,141
14,1,135
15,1,139
16,1,133
17,1,132
18,1,148
19,1,134
20,1,139
21,1,149
22,1,143
23,1,139
24,1,141
25,1,133
26,1,132
27,1,143
28,1,135
29,1,134
30,1,142
31,1,149
32,1,149
33,1,147
34,1,130
35,1,143
36,1,138
37,1,135
38,1,144
39,1,141
40,1,135
41,1,145
42,1,142
43,1,132
44,1,146
45,1,147
46,1,130
47,1,144
48,1,133
49,1,149
50,1,133
51,1,142
52,1,139
53,1,148
54,1,130
55,1,130
56,1,135
57,1,137
58,1,138
59,1,143
60,1,138
61,1,144
62,1,143
63,1,132
64,1,135
65,1,143
66,1,132
67,1,141
68,1,135
69,1,150
70,1,140
71,1,144
72,1,144
73,1,144
74,1,136
75,1,147
76,1,138
77,1,135
78,1,146
79,1,141
80,1,142
81,1,130
82,1,142
83,1,133
84,1,131
85,1,143
86,1,135
87,1,131
88,1,138
89,1,147
90,1,142
91,1,145
92,1,138
93,1,144
94,1,143
95,1,147
96,1,149
97,1,131
98,1,133
99,1,145
100,1,130
101,1,150
102,1,132
103,1,139
104,1,137
105,1,141
106,1,140
107,1,137
108,1,143
109,1,146
110,1,144
111,1,138
112,1,140
113,1,138
114,1,150
115,1,131
116,1,148
117,1,144
118,1,140
119,1,148
120,1,150
121,1,132
122,1,132
123,1,133
124,1,132
125,1,147
126,1,150
127,1,138
128,1,139
129,1,135
130,1,144
131,1,143
132,1,148
133,1,132
134,1,140
135,1,141
