caneria,comuna,porcentaje_perdida
0,0,0.09
1,0,0.08
2,0,0.08
3,0,0.08
4,0,0.07
5,0,0.09
6,0,0.09
7,0,0.07
8,0,0.07
9,0,0.07
10,0,0.09
11,0,0.08
12,0,0.09
13,0,0.08
14,0,0.07
15,0,0.07
16,0,0.08
17,0,0.07
18,0,0.07
19,0,0.07
20,0,0.08
21,0,0.08
22,0,0.07
23,0,0.07
24,0,0.07
25,0,0.08
26,0,0.08
27,0,0.07
28,0,0.09
29,0,0.07
30,0,0.08
31,0,0.08
32,0,0.09
33,0,0.09
34,0,0.08
35,0,0.09
36,0,0.09
37,0,0.07
38,0,0.08
39,0,0.09
40,0,0.09
41,0,0.07
42,0,0.09
43,0,0.08
44,0,0.09
45,0,0.07
46,0,0.07
47,0,0.07
48,0,0.08
49,0,0.09
50,0,0.07
51,0,0.07
52,0,0.07
53,0,0.08
54,0,0.07
55,0,0.07
56,0,0.07
57,0,0.09
58,0,0.09
59,0,0.08
60,0,0.09
61,0,0.09
62,0,0.09
63,0,0.08
64,0,0.09
65,0,0.07
66,0,0.09
67,0,0.07
68,0,0.07
69,0,0.09
70,0,0.08
71,0,0.07
72,0,0.08
73,0,0.08
74,0,0.09
75,0,0.08
76,0,0.08
77,0,0.09
78,0,0.09
79,0,0.08
80,0,0.09
81,0,0.07
82,0,0.08
83,0,0.07
84,0,0.07
85,0,0.08
86,0,0.07
87,0,0.07
88,0,0.07
89,0,0.07
90,0,0.07
91,0,0.07
92,0,0.08
93,0,0.07
94,0,0.07
95,0,0.07
96,0,0.07
97,0,0.09
98,0,0.08
99,0,0.08
100,0,0.09
101,0,0.09
102,0,0.08
103,0,0.09
104,0,0.07
105,0,0.07
106,0,0.07
107,0,0.07
108,0,0.07
109,0,0.08
110,0,0.07
111,0,0.08
112,0,0.07
113,0,0.07
114,0,0.08
115,0,0.08
116,0,0.08
117,0,0.07
118,0,0.08
119,0,0.08
120,0,0.07
121,0,0.07
122,0,0.09
123,0,0.07
124,0,0.08
125,0,0.08
126,0,0.08
127,0,0.09
128,0,0.09
129,0,0.09
130,0,0.08
131,0,0.08
132,0,0.07
133,0,0.08
134,0,0.08
135,0,0.07
0,1,0.07
1,1,0.08
2,1,0.07
3,1,0.09
4,1,0.09
5,1,0.09
6,1,0.08
7,1,0.07
8,1,0.09
9,1,0.09
10,1,0.07
11,1,0.07
12,1,0.08
13,1,0.09
14,1,0.07
15,1,0.07
16,1,0.09
17,1,0.09
18,1,0.07
19,1,0.08
20,1,0.08
21,1,0.07
22,1,0.07
23,1,0.08
24,1,0.09
25,1,0.08
26,1,0.07
27,1,0.07
28,1,0.09
29,1,0.08
30,1,0.08
31,1,0.08
32,1,0.09
33,1,0.09
34,1,0.08
35,1,0.08
36,1,0.09
37,1,0.09
38,1,0.09
39,1,0.09
40,1,0.07
41,1,0.07
42,1,0.09
43,1,0.09
44,1,0.08
45,1,0.07
46,1,0.07
47,1,0.08
48,1,0.09
49,1,0.09
50,1,0.08
51,1,0.09
52,1,0.08
53,1,0.09
54,1,0.07
55,1,0.07
56,1,0.09
57,1,0.07
58,1,0.07
59,1,0.07
60,1,0.09
61,1,0.09
62,1,0.07
63,1,0.07
64,1,0.08
65,1,0.07
66,1,0.08
67,1,0.08
68,1,0.08
69,1,0.07
70,1,0.08
71,1,0.09
72,1,0.07
73,1,0.09
74,1,0.08
75,1,0.09
76,1,0.08
77,1,0.09
78,1,0.09
79,1,0.08
80,1,0.09
81,1,0.07
82,1,0.07
83,1,0.07
84,1,0.07
85,1,0.08
86,1,0.08
87,1,0.07
88,1,0.09
89,1,0.08
90,1,0.07
91,1,0.07
92,1,0.07
93,1,0.07
94,1,0.09
95,1,0.08
96,1,0.07
97,1,0.09
98,1,0.07
99,1,0.08
100,1,0.09
101,1,0.09
102,1,0.08
103,1,0.08
104,1,0.07
105,1,0.09
106,1,0.07
107,1,0.08
108,1,0.07
109,1,0.08
110,1,0.07
111,1,0.07
112,1,0.08
113,1,0.07
114,1,0.09
115,1,0.07
116,1,0.09
117,1,0.09
118,1,0.09
119,1,0.09
120,1,0.08
121,1,0.08
122,1,0.08
123,1,0.07
124,1,0.08
125,1,0.07
126,1,0.09
127,1,0.07
128,1,0.08
129,1,0.07
130,1,0.08
131,1,0.07
132,1,0.08
133,1,0.07
134,1,0.09
135,1,0.08
